,date,close,open,high,low,flucamount,amplitude,turnoverrate,rv,rv_w,rv_m,SMA,SD,Upper_band,Lower_Band,RSI,M12,High-Low,High-Close Prev,Low-Close Prev,True Range,ATR
43,2024-01-02,3386.35,3426.27,3426.27,3386.35,-44.76,1.16,0.3758,0.001699622,0.003987183,0.00470746,3368.1785000000004,39.736293668052085,3447.6510873361044,3288.7059126638965,44.41807192338473,0.010259668969796687,39.92000000000007,4.8400000000001455,44.76000000000022,44.76000000000022,43.27571428571433
44,2024-01-03,3378.3,3379.75,3392.85,3362.66,-8.06,0.89,0.3417,0.002530309,0.003986462,0.004568694,3367.3805,39.34326110623872,3446.0670222124777,3288.6939777875227,51.38897758477557,0.010997890200655336,30.190000000000055,6.5,23.690000000000055,30.190000000000055,41.346428571428596
45,2024-01-04,3347.05,3375.02,3375.02,3323.86,-31.25,1.51,0.3452,0.004703444,0.004101693,0.004646703,3364.7529999999997,38.829661491943796,3442.4123229838874,3287.093677016112,49.24875302181832,0.005310313963302393,51.159999999999854,3.2800000000002,54.440000000000055,54.440000000000055,41.77928571428577
46,2024-01-05,3329.11,3341.31,3372.54,3313.55,-17.94,1.76,0.4089,0.00568383,0.003600191,0.00466357,3361.6445,39.081962386085046,3439.80842477217,3283.48057522783,48.139507059105036,-0.001478686518458061,58.98999999999978,25.48999999999978,33.5,58.98999999999978,42.49428571428575
47,2024-01-08,3286.06,3322.6,3333.52,3283.34,-43.05,1.51,0.3796,0.006429585,0.004209358,0.004706052,3355.9744999999994,41.460585274641154,3438.8956705492815,3273.0533294507172,44.07021002765685,-0.0034692949203942725,50.179999999999836,4.4099999999998545,45.76999999999998,50.179999999999836,43.404285714285734
48,2024-01-09,3292.5,3286.71,3304.6,3273.84,6.44,0.94,0.3534,0.007594623,0.005388358,0.004834682,3349.6269999999995,40.94584383510038,3431.5186876702,3267.735312329799,44.339982559407034,-0.011519512920047936,30.759999999999764,18.539999999999964,12.2199999999998,30.759999999999764,43.27357142857142
49,2024-01-10,3277.13,3281.67,3312.92,3268.25,-15.37,1.36,0.3045,0.009277938,0.006737884,0.005102717,3342.1434999999997,39.75898975140893,3421.6614795028177,3262.6255204971817,47.05457069319531,-0.018008947540325337,44.67000000000007,20.420000000000073,24.25,44.67000000000007,43.52357142857142
50,2024-01-11,3295.67,3275.31,3311.11,3266.79,18.54,1.35,0.3517,0.006698813,0.007136958,0.00508176,3338.447,40.50173006051404,3419.4504601210283,3257.443539878972,44.68213681411654,-0.015468490940865331,44.320000000000164,33.98000000000002,10.340000000000146,44.320000000000164,42.7342857142857
51,2024-01-12,3284.17,3284.36,3310.47,3279.7,-11.5,0.93,0.3131,0.003180406,0.006636273,0.005090383,3335.0575,42.11577400139823,3419.2890480027963,3250.8259519972034,42.10651591788159,-0.012217312973150096,30.769999999999982,14.799999999999727,15.970000000000255,30.769999999999982,41.849285714285706
52,2024-01-15,3280.92,3270.1,3306.92,3261.27,-3.25,1.39,0.2872,0.004268801,0.006204117,0.005155973,3332.0259999999994,43.77330746374779,3419.572614927495,3244.4793850725036,39.89305137787505,-0.016616911844045568,45.65000000000009,22.75,22.90000000000009,45.65000000000009,43.78499999999998
